Index,Text
0,"This nude painting (nu) is called Katie, It was created by Gazmend Freitag. It follows the Contemporary Realism style. It create on oil, canvas"
1,"This poster is called Dance of the 80s, It was created by Branko Bačanović. "
2,"This genre painting is called The Japanese Parisian, It was created by Alfred Stevens, created in 1872. It follows the Japonism,Romanticism style. It create on oil, canvas"
3,"This abstract is called En Bellagio, It was created by Cesar Paternosto, created in 2003. It follows the Color Field Painting,Concretism style. "
4,"This poster is called Wild Flesh, It was created by Branko Bačanović. "
5,"This figurative is called Angi, It was created by Gazmend Freitag. It follows the Contemporary Realism style. It create on oil, canvas"
6,"This history painting is called Surrender of Santa Anna, It was created by William Henry Huddle, created in 1886. It follows the Romanticism style. "
7,"This illustration is called Arabella and Araminta Stories, It was created by Ethel Reed, created in 1895. It follows the Art Nouveau (Modern) style. It create on print"
8,"This still life is called Stil life, It was created by Mariam Aslamazian. It follows the Naïve Art (Primitivism) style. It create on oil, canvas"
9,"This portrait is called Untitled (Death Mask), It was created by Arnulf Rainer, created in 1978. It follows the Neo-Expressionism style. "
10,"This is Leaving Leninakan, It was created by Mariam Aslamazian, created in 1965. It create on oil"
11,"This illustration is called Miss Träumerei, It was created by Ethel Reed, created in 1885. It follows the Art Nouveau (Modern) style. It create on print"
12,"This portrait is called Vortex, It was created by Denis Peterson. It follows the Hyper-Realism style. "
13,"This abstract is called Not Sure About Myself, I Am Certain., It was created by Anthony Sims. It follows the Abstract Expressionism,Digital Art style. It create on acrylic, oil, pastel"
14,"This symbolic painting is called Untitled, It was created by Gennady Mironov, created in 2010. It follows the Magic Realism,Kitsch style. It create on oil"
15,"This graffiti is called Untitled, It was created by TAKI 183. It follows the Street art style. "
16,"This is Untitled, It was created by TAKI 183. It follows the Street art style. "
17,"This figurative is called Bleeding Heart, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
18,"This animal painting is called Emerald Green, It was created by Bernadette Resha. It follows the Outsider art style. "
19,"This figurative is called Marilyn, It was created by Allan D'Arcangelo, created in 1962. It follows the Pop Art style. "
20,"This figurative is called Flutter, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
21,"This abstract is called Love of Fall, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
22,"This still life is called Reading by Candlelight, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
23,"This genre painting is called The Painter Joseph Binder's Adventure, It was created by Joseph Binder, created in 1860. It follows the Academicism style. "
24,"This figurative is called Cover of Artforum, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
25,"This figurative is called Untitled, It was created by Gretchen Andrew. It follows the Cyber Art style. It create on collage"
26,"This genre painting is called Hi Up, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
27,"This digital is called Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art style. It create on charcoal"
28,"This figurative is called Green Beans, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
29,"This digital is called Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art style. It create on charcoal"
30,"This digital is called Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art style. It create on charcoal"
31,"This is Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art style. It create on digital"
32,"This figurative is called Best MFA, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
33,"This figurative is called Cover of Artforum, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
34,"This digital is called Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art style. It create on charcoal"
35,"This digital is called Art Basel NFT, It was created by Gretchen Andrew. It follows the Digital Art style. It create on charcoal"
36,"This figurative is called Malarstwo, It was created by Leon Tarasewicz. It follows the Post-Minimalism style. "
37,"This digital is called Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art style. It create on charcoal"
38,"This figurative is called Best MFA, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
39,"This portrait is called Albrecht II, It was created by Joseph Binder, created in 1853. It follows the Academicism style. "
40,"This digital is called Map of the EU, It was created by Gretchen Andrew. It follows the Digital Art,Cyber Art style. It create on charcoal"
41,"This abstract is called NR 3, It was created by Leon Tarasewicz, created in 1989. It follows the Post-Minimalism style. "
42,"This figurative is called Cover of Artforum, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
43,"This installation is called Granice Malarstwa – Granice Galerii, It was created by Leon Tarasewicz, created in 2013. It follows the Conceptual Art style. "
44,"This marina is called The Collection, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
45,"This abstract is called Untitled, It was created by Leon Tarasewicz. It follows the Minimalism style. "
46,"This figurative is called Best MFA, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
47,"This figurative is called Best MFA, It was created by Gretchen Andrew, created in 2020. It follows the Cyber Art style. It create on collage"
48,"This genre painting is called Farmers in Confrontation, It was created by SM Sultan, created in 1986. It follows the Social Realism,Expressionism style. "
49,"This figurative is called The next American President, It was created by Gretchen Andrew, created in 2017. It follows the Cyber Art style. It create on collage"
50,"This figurative is called Untitled, It was created by Leon Tarasewicz, created in 1985. It follows the Minimalism style. "
51,"This genre painting is called Devotee, It was created by SM Sultan. It follows the Social Realism style. It create on watercolor"
52,"This abstract is called Untitled (Orange-Blue), It was created by Leon Tarasewicz. It follows the Minimalism style. "
53,"This genre painting is called Peasants at Work, It was created by SM Sultan, created in 1975. It follows the Social Realism,Expressionism style. "
54,"This installation is called Modry, It was created by Leon Tarasewicz, created in 2015. It follows the Conceptual Art style. "
55,"This genre painting is called Char Dakhal, It was created by SM Sultan. It follows the Expressionism style. "
56,"This religious painting is called After the Flood, It was created by SM Sultan, created in 1986. It follows the Expressionism style. "
57,"This animal painting is called Circle of Rabbits, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
58,"This landscape is called Untitled Landscape, It was created by SM Sultan, created in 1952. It follows the Social Realism,Expressionism style. "
59,"This figurative is called Untitled, It was created by Leon Tarasewicz, created in 1989. It follows the Post-Minimalism style. "
60,"This flower painting is called Psychodelic Flowers, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
61,"This animal painting is called Watchful Heron, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
62,"This nude painting (nu) is called The First Plantation, It was created by SM Sultan. It follows the Expressionism style. "
63,"This landscape is called Northwest Briches, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
64,"This flower painting is called Crocus, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
65,"This animal painting is called Singing for the Full Moon, It was created by Bernadette Resha, created in 2016. It follows the Outsider art style. "
66,"This flower painting is called Charming Three, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
67,"This flower painting is called Magic, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
68,"This figurative is called The Next American President, It was created by Gretchen Andrew, created in 2017. It follows the Cyber Art style. It create on collage"
69,"This flower painting is called Crimson Burst, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
70,"This still life is called Wine for Three, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
71,"This flower painting is called Three Flower Vases, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
72,"This flower painting is called Morning Sun, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
73,"This flower painting is called Goldie, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
74,"This animal painting is called Spring Morning, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
75,"This landscape is called Arizona, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
76,"This flower painting is called Crimson, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
77,"This figurative is called Carrots, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
78,"This flower painting is called Liliy, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
79,"This animal painting is called Jail Bird, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
80,"This still life is called Fruit with Tulips, It was created by Bernadette Resha, created in 2016. It follows the Outsider art style. "
81,"This animal painting is called Nectar, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
82,"This flower painting is called Early Spring, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
83,"This flower painting is called Freckles, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
